Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,758390564,9729.766337335352,983089,12.612533321029915,69886,6859093,87.99868477273478,6414,0.0822883673005047,293,
United States of America,Americas,102019564,30821.374,267168,80.715,0,1109145,335.086,2362,0.714,0
China,Western Pacific,99030129,6730.851,97455,6.624,7838,119865,8.147,355,0.024,44
India,South-East Asia,44686371,3238.133,1239,0.09,169,530771,38.462,10,0.001,1
France,Europe,38513431,59215.576,26390,40.575,841,161253,247.931,170,0.261,35
Germany,Europe,38144033,45864.544,110846,133.282,19249,167951,201.945,73,0.088,11
Brazil,Americas,37024417,17418.385,34560,16.259,952,698947,328.824,891,0.419,1
Japan,Western Pacific,33190296,26242.271,92344,73.013,5330,72320,57.181,583,0.461,52
Republic of Korea,Western Pacific,30513721,59516.688,67946,132.528,10817,33977,66.272,104,0.203,16
Italy,Europe,25576852,42884.329,16179,27.127,0,188094,315.374,130,0.218,0
The United Kingdom,Europe,24370154,35898.643,9356,13.782,0,206952,304.852,39,0.057,0
Russian Federation,Europe,22272470,15261.968,82482,56.52,9753,396100,271.423,233,0.16,35
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13763336,29077.912,7380,15.592,0,119380,252.215,194,0.41,0
Viet Nam,Western Pacific,11526905,11842.072,80,0.082,4,43186,44.367,0,0,0
Australia,Western Pacific,11362275,44558.144,0,0,0,19370,75.961,202,0.792,0
Argentina,Americas,10044125,22223.593,817,1.808,0,130463,288.662,5,0.011,0
Netherlands,Europe,8594150,49370.145,3420,19.647,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7567702,9009.925,899,1.07,0,144842,172.445,30,0.036,0
Mexico,Americas,7450992,5778.975,14758,11.446,0,332986,258.263,49,0.038,0
Indonesia,South-East Asia,6736046,2462.693,1440,0.526,266,160914,58.83,22,0.008,3
Poland,Europe,6419480,16911.999,15459,40.726,3769,118884,313.198,51,0.134,16
Colombia,Americas,6359464,12498.236,689,1.354,0,142615,280.281,19,0.037,0
Austria,Europe,5905405,66344.934,38812,436.038,3262,21872,245.723,25,0.281,0
Greece,Europe,5871458,54778.396,0,0,0,36185,337.592,0,0,0
Portugal,Europe,5568084,54080.548,537,5.216,0,26180,254.276,16,0.155,0
Ukraine,Europe,5389439,12323.292,0,0,0,111235,254.346,0,0,0
Chile,Americas,5164922,27018.559,14296,74.785,1606,64174,335.705,72,0.377,8
Malaysia,Western Pacific,5042585,15579.884,1411,4.36,190,36957,114.185,0,0,0
Israel,Europe,4798947,55443.64,3616,41.777,620,12288,141.967,23,0.266,1
Thailand,South-East Asia,4728035,6773.691,204,0.292,0,33911,48.583,9,0.013,0
Belgium,Europe,4717655,40943.194,3532,30.653,0,33717,292.62,17,0.148,0
Czechia,Europe,4609820,43106.848,6807,63.653,1678,42436,396.823,33,0.309,2
Canada,Americas,4591149,12164.512,9396,24.895,0,51249,135.787,163,0.432,0
Peru,Americas,4485684,13604.585,915,2.775,68,219429,665.504,85,0.258,23
Switzerland,Europe,4389655,50720.378,0,0,0,13937,161.035,0,0,0
Philippines,Western Pacific,4076237,3719.837,708,0.646,95,66108,60.328,78,0.071,11
South Africa,Africa,4060385,6846.189,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3403225,58446.909,799,13.722,74,8255,141.771,18,0.309,1
Romania,Europe,3340342,17281.649,5211,26.96,0,67704,350.275,29,0.15,0
Sweden,Europe,2697827,26122.525,358,3.466,0,23662,229.114,3,0.029,0
Serbia,Europe,2491704,35972.428,5879,84.874,894,17821,257.28,42,0.606,5
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2226099,38050.75,0,0,0,1722,29.434,0,0,0
Hungary,Europe,2194969,22467.508,0,0,0,48650,497.977,0,0,0
New Zealand,Western Pacific,2166470,44926.697,7832,162.414,0,2542,52.714,8,0.166,0
Bangladesh,South-East Asia,2037829,1237.377,56,0.034,11,29445,17.879,0,0,0
Slovakia,Europe,1862889,34132.143,632,11.58,110,21021,385.15,18,0.33,4
Georgia,Europe,1825598,45763.798,0,0,0,16965,425.276,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1703244,34308.885,206,4.15,0,8655,174.34,39,0.786,0
Pakistan,Eastern Mediterranean,1576961,713.905,257,0.116,23,30643,13.872,2,0.001,0
Kazakhstan,Europe,1498722,7981.815,544,2.897,54,19069,101.557,1,0.005,1
Norway,Europe,1478979,27553.926,268,4.993,42,5175,96.412,0,0,0
Finland,Europe,1462169,26463.199,210,3.801,0,8892,160.933,0,0,0
Slovenia,Europe,1328222,63373.573,2148,102.488,585,9125,435.382,3,0.143,0
Lithuania,Europe,1304750,46696.778,2117,75.767,618,9587,343.117,10,0.358,1
Bulgaria,Europe,1296773,18654.626,474,6.819,105,38216,549.753,10,0.144,5
Morocco,Eastern Mediterranean,1272445,3447.374,59,0.16,0,16296,44.15,0,0,0
Croatia,Europe,1268992,31270.094,388,9.561,0,17971,442.836,21,0.517,0
Guatemala,Americas,1235970,6898.86,1925,10.745,52,20168,112.572,11,0.061,1
Lebanon,Eastern Mediterranean,1231713,18045.9,673,9.86,0,10825,158.598,6,0.088,0
Costa Rica,Americas,1204164,23638.322,5109,100.292,0,9230,181.189,16,0.314,0
Bolivia (Plurinational State of),Americas,1192933,10219.574,729,6.245,45,22365,191.596,3,0.026,0
Tunisia,Eastern Mediterranean,1150793,9737.119,187,1.582,0,29330,248.168,4,0.034,0
Cuba,Americas,1112593,9822.819,40,0.353,10,8530,75.309,0,0,0
Puerto Rico,Americas,1097748,38371.353,2611,91.266,203,5791,202.422,20,0.699,0
Ecuador,Americas,1057121,5991.712,284,1.61,0,36014,204.126,1,0.006,0
United Arab Emirates,Eastern Mediterranean,1051930,10635.867,768,7.765,68,2349,23.75,0,0,0
Uruguay,Americas,1034303,29774.997,257,7.398,0,7617,219.274,0,0,0
Panama,Americas,1031273,23901.012,259,6.003,0,8604,199.408,1,0.023,0
Mongolia,Western Pacific,1007897,30744.596,1,0.031,0,2136,65.156,0,0,0
Nepal,South-East Asia,1001145,3436.015,10,0.034,2,12020,41.254,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,975999,51161.702,152,7.968,22,6265,328.41,7,0.367,2
Saudi Arabia,Eastern Mediterranean,829388,2382.349,405,1.163,101,9614,27.615,9,0.026,0
Azerbaijan,Europe,828515,8171.424,157,1.548,3,10118,99.791,15,0.148,1
Paraguay,Americas,735664,10314.197,824,11.553,0,19870,278.582,21,0.294,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672029,3138.379,7,0.033,2,16830,78.596,1,0.005,0
Kuwait,Eastern Mediterranean,663456,15535.534,0,0,0,2570,60.179,0,0,0
Dominican Republic,Americas,660705,6090.62,45,0.415,0,4384,40.413,0,0,0
Cyprus,Europe,649093,73095.647,2062,232.206,0,1305,146.959,8,0.901,0
Myanmar,South-East Asia,633914,1165.073,13,0.024,0,19490,35.821,0,0,0
Estonia,Europe,615128,46285.862,274,20.617,57,2940,221.223,6,0.451,6
Republic of Moldova,Europe,607360,15056.162,3702,91.771,0,11988,297.177,14,0.347,0
Venezuela (Bolivarian Republic of),Americas,551928,1940.952,4,0.014,0,5852,20.58,0,0,0
Egypt,Eastern Mediterranean,515698,503.934,0,0,0,24809,24.243,0,0,0
Libya,Eastern Mediterranean,507174,7381.057,3,0.044,3,6437,93.68,0,0,0
Ethiopia,Africa,499903,434.836,31,0.027,0,7572,6.586,0,0,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Qatar,Eastern Mediterranean,494056,17148.452,566,19.646,120,686,23.811,0,0,0
Honduras,Americas,472116,4766.63,352,3.554,0,11111,112.18,2,0.02,0
Armenia,Europe,446819,15078.762,0,0,0,8721,294.307,0,0,0
Bosnia and Herzegovina,Europe,401636,12241.958,61,1.859,3,16279,496.188,1,0.03,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,346852,16648.523,0,0,0,9662,463.766,0,0,0
Kenya,Africa,342912,637.723,12,0.022,0,5688,10.578,0,0,0
Zambia,Africa,342707,1864.164,0,0,0,4054,22.052,0,0,0
Albania,Europe,333455,11587.15,56,1.946,0,3598,125.026,1,0.035,0
Botswana,Africa,329727,14021.229,0,0,0,2795,118.854,0,0,0
Luxembourg,Europe,316601,50566.516,656,104.774,8,1219,194.695,4,0.639,2
Mauritius,Africa,295440,23230.652,0,0,0,1044,82.09,0,0,0
Montenegro,Europe,288189,45885.438,634,100.945,42,2801,445.975,1,0.159,0
Brunei Darussalam,Western Pacific,278698,63705.458,0,0,0,150,34.287,0,0,0
Kosovo[1],Europe,273003,15203.44,195,10.859,12,3200,178.207,4,0.223,2
Algeria,Africa,271432,618.986,6,0.014,0,6881,15.692,0,0,0
Nigeria,Africa,266593,129.326,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,263921,1775.7,0,0,0,5663,38.102,0,0,0
Uzbekistan,Europe,251071,750.155,139,0.415,15,1637,4.891,0,0,0
Mozambique,Africa,233098,745.784,0,0,0,2242,7.173,0,0,0
Martinique,Americas,228875,60990.234,0,0,0,1092,290.994,0,0,0
Lao People's Democratic Republic,Western Pacific,218015,2996.539,6,0.082,0,758,10.418,0,0,0
Afghanistan,Eastern Mediterranean,209322,537.711,156,0.401,42,7879,20.24,1,0.003,1
Iceland,Europe,209093,57421.993,129,35.427,31,263,72.226,0,0,0
Kyrgyzstan,Europe,206673,3167.795,40,0.613,0,2991,45.845,0,0,0
Guadeloupe,Americas,201852,50447.361,0,0,0,1010,252.422,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Trinidad and Tobago,Americas,188737,13486.146,226,16.149,0,4339,310.042,3,0.214,0
Maldives,South-East Asia,185732,34360.2,3,0.555,0,311,57.535,0,0,0
Ghana,Africa,171167,550.856,0,0,0,1462,4.705,0,0,0
Namibia,Africa,171156,6736.025,0,0,0,4090,160.966,0,0,0
Uganda,Africa,170409,372.552,0,0,0,3630,7.936,0,0,0
Jamaica,Americas,154196,5207.271,131,4.424,0,3502,118.264,2,0.068,0
Cambodia,Western Pacific,138715,829.687,7,0.042,0,3056,18.279,0,0,0
Rwanda,Africa,133162,1028.102,0,0,0,1468,11.334,0,0,0
Cameroon,Africa,124392,468.593,0,0,0,1965,7.402,0,0,0
Malta,Europe,117477,22830.396,139,27.013,0,827,160.719,0,0,0
Barbados,Americas,106645,37110.048,0,0,0,575,200.087,0,0,0
Angola,Africa,105255,320.252,0,0,0,1933,5.881,0,0,0
French Guiana,Americas,98041,32824.542,0,0,0,413,138.274,0,0,0
Democratic Republic of the Congo,Africa,95645,106.793,0,0,0,1464,1.635,0,0,0
Senegal,Africa,88917,531.04,7,0.042,0,1971,11.771,0,0,0
Malawi,Africa,88584,463.064,0,0,0,2686,14.041,0,0,0
Côte d’Ivoire,Africa,88138,334.131,24,0.091,0,834,3.162,0,0,0
Suriname,Americas,82227,14016.794,0,0,0,1400,238.65,0,0,0
New Caledonia,Western Pacific,80007,28023.664,0,0,0,314,109.983,0,0,0
French Polynesia,Western Pacific,77957,27751.791,0,0,0,649,231.036,0,0,0
Eswatini,Africa,74199,6395.561,0,0,0,1423,122.655,0,0,0
Guyana,Americas,73066,9289.405,9,1.144,0,1298,165.024,0,0,0
Belize,Americas,70740,17790.498,19,4.778,0,688,173.026,0,0,0
Fiji,Western Pacific,68889,7684.688,13,1.45,0,883,98.5,0,0,0
Madagascar,Africa,67852,245.033,0,0,0,1421,5.132,0,0,0
Jersey,Europe,66391,61589.484,0,0,0,161,149.356,0,0,0
Sudan,Eastern Mediterranean,63809,145.519,22,0.05,16,5013,11.432,2,0.005,2
Mauritania,Africa,63438,1364.358,0,0,0,997,21.442,0,0,0
Cabo Verde,Africa,63240,11374.367,1,0.18,0,413,74.282,0,0,0
Bhutan,South-East Asia,62620,8115.52,5,0.648,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328.119,0,0,0,3163,18.074,0,0,0
Burundi,Africa,53631,451.03,0,0,0,15,0.126,0,0,0
Guam,Western Pacific,50853,30130.647,30,17.775,6,420,248.852,1,0.593,0
Seychelles,Africa,50665,51516.569,0,0,0,172,174.891,0,0,0
Gabon,Africa,48981,2200.667,0,0,0,306,13.748,0,0,0
Andorra,Europe,47875,61962.079,9,11.648,0,159,205.785,0,0,0
